,상품이름,가격(원가)
149,[헬렌카민스키]갤러리아 헬렌카민스키 비앙카 BIANCA,"170,560원"
150,1+1 10여종 16k 방수커버우산 자동 장우산 대형 외 우산 양우산 우비 거꾸로 uv,"10,900원"
151,[프롬산타](15%+10%)3+사은품 자체제작 고급 면 양말세트 남자여자무지흰검정중목장목학생화이트블랙국산,"14,500원"
152,[메트로시티]쿠폰가10%+5%어버이날 선물추천 메트로시티 BEST 우양산/스카프 18종 택1,"34,000원"
153,15%+5% 여성 미들라인 레인부츠 컬러 장화 아쿠아슈즈 코젤S022,"15,540원"
154,쿠샤 남성 여성 젤리 슬리퍼 샌들 아쿠아슈즈 신발,"17,800원"
155,스테디셀러 슈라모드 샌드 슬리퍼 여성슬리퍼 여자슬리퍼 발편한슬리퍼 사무실슬리퍼 키높이슬리퍼,"11,790원"
156,(15%+10%)레인부츠/실내화 외 1+1소프트 린넨 실내화/퀼트 면 실내화 슬리퍼/메모리폼깔창/슬리퍼/신발끈,"14,600원"
157,(15%+5%) 미니아트 14K귀걸이 반지 목걸이 팔찌 주얼리 봄세일 선물 추천,"9,800원"
158,(15%+15% 6510원)1+1소가죽 정장벨트외 5종아웃도어 경량 벨트 캐주얼 밀리터리 등산 허리띠 군용 요대,"9,310원"
159,MLB 캠핑슬리퍼 캠핑샌들 남자/여자 슬리퍼 슬라이드 사무실 학교 성인 학생,"23,900원"
160,힐슈빌 여성샌들 여름샌들 샌들 스트랩 웨지 플랫샌들,"9,900원"
161,1+1 UV차단 여성 밀짚 썬캡 MZ080,"9,900원"
162,[비에프엘아웃도어]BFL 발편한 운동화 가벼운 런닝화 조깅화 워킹화 경량 신발,"27,900원"
163,[베라왕]후기 1등 VW베라왕 시그니처 선글라스 VW523,"89,000원"
164,(15%+10% 5810원)국산 10켤레 남자 여자 무지 발목양말,"7,740원"
165,[에잇세컨즈]12%쿠폰 에잇세컨즈 ACC 봄맞이 23FW/SS 특가 대방출 모자/벨트/가방外,"17,900원"
166,[휠라]휠라 페이크 삭스 5족,"15,900원"
167,10+15%/쿠폰가 몽땅 9450원 맥코인 선글라스 리퍼브 /블루라이트 차단 안경,"12,600원"
168,특가 1+1 폭신한 슬리퍼 키높이 슬리퍼 여름 미끄럼 방지 캠핑 스포츠,"12,900원"
169,남성 러닝화 HOKA스포츠 러닝화 본디 8 통,"58,800원"
170,(25% 최종가 5930원)국내생산 양말 최대10켤레 남성여성 발목/중목/학생/스포츠/정장/패션/페이크삭스,"7,900원"
171,[프로스펙스]프로스펙스 트레스 쿠셔닝 장목 7족,"15,840원"
172,[캉골](현대백화점) [캉골] 에코 프랜들리백 0013 2종 택1(블랙/아이보리),"25,840원"
173,15%+10% 소가죽 여성가방 몽땅만원대 폭탄세일,"11,800원"
174,(1+1 총10켤레) 리얼 쿨덧신/원단자체가 시원한 진짜 냉감 페이크 삭스/여성 여름 양말/망사 메쉬 쿨양말,"16,800원"
175,[지프 (의류)]JEEP spirit (지프스피릿) 소가죽남성벨트 남자 남성 허리띠 정장 BT 0475,"23,700원"
176,[즐루]1+1 무지 튼튼한 16K 자동 장우산 예쁜우산 커플 경량우산,"18,900원"
177,남녀공용 여자 남자 학생 야구 커플 무지 대두 등산 빅사이즈 볼캡 블랙 화이트 모자,"3,800원"
178,[랩]LAP ACC 70% 최대할인율 본사 여름 베스트 크로스백/토트백,"45,000원"
179,(15%+5%) 크리스탈 카네이션 브로치/볼펜/넥타이핀/용돈박스 어버이날 가정의달 선물,"14,900원"
180,[지프 (의류)]JEEP spirit (지프스피릿) 남여자공용 벙거지 버킷햇 모자 남성 여성 CA282,"17,700원"
